STATE	CITY	APPLICANT/LICENSEE NAME	LICENSE NO.	DOCKET	REGION	RECEIVED	TYPE/ACTION
WY	CODY	WEST PARK HOSPITAL                 	49-18230-01  	3014695	4	39581	8
CA	VISTA	SCIENCE APPLICATIONS INT'L CORP    	04-27788-01  	3036667	4	39582	4
CT	STAMFORD	HEART PHYSICIANS (THE)             	06-30571-01  	3035382	1	39582	4
ID	LEWISTON	CLEARWATER PAPER CORPORATION       	11-27075-01  	3032229	4	39582	4
IN	FORT WAYNE	ALLEN COUNTY CARDIOLOGY            	13-32243-01  	3035340	3	39582	4
IN	INDIANAPOLIS	CENTRAL INDIANA CANCER CENTERS     	13-32241-01  	3035383	3	39582	4
MI	FLINT	HURLEY MEDICAL CENTER              	21-00338-02  	3001993	3	39582	4
MO	ST. LOUIS	MALLINCKRODT INC.                  	24-04206-10MD	3029675	3	39582	4
PR	PONCE	"CARIBBEAN IMAGING&RAD TRMT CTR, INC"	52-31253-01  	3037488	1	39582	4
TX	SUGAR LAND	"DRAEGER SAFETY, INC.               "	42-23903-01E 	3036289	0	39582	4
DE	WILMINGTON	"AGILENT TECHNOLOGIES, INC.         "	07-28762-01  	3032792	1	39583	4
IN	FORT WAYNE	ST. JOSEPH HEALTH SYSTEM LLC.      	13-00418-02  	3001581	3	39583	4
MI	SAGINAW	"COVENANT MEDICAL CENTER, INC.      "	21-01492-02  	3002012	3	39583	4
MO	EXCELSIOR SPRINGS	EXCELSIOR SPRINGS MEDICAL CENTER   	24-32234-01  	3035302	3	39583	4
MO	SPRINGFIELD	HARTMAN & COMPANY INC              	24-32684-01  	3037732	3	39583	4
NJ	PICATINNY ARSENAL	"ARMY, DEPARTMENT OF THE            "	29-00047-02  	3005215	1	39583	4
NJ	PRINCETON	"LAUREATE PHARMA, INC.              "	29-21169-01  	3019868	1	39583	4
NJ	TOMS RIVER	COMMUNITY MEDICAL CENTER           	29-09806-03  	3012158	1	39583	4
PA	KING OF PRUSSIA	PENNONI ASSOCIATES INC.            	37-17637-02  	3017570	1	39583	4
VA	HERNDON	RADIOLOGY SERVICES OF NORTHERN VA  	45-31125-02MD	3037208	1	39583	4
VT	BURLINGTON	FLETCHER ALLEN HEALTH CARE         	44-10187-03  	3003289	1	39583	4
MD	ABERDEEN PROVING GR	"ARMY, DEPARTMENT OF THE            "	19-00294-19  	3004523	1	39584	4
NJ	EDISON	JOHN F. KENNEDY MEDICAL CENTER     	29-12611-01  	3002555	1	39584	4
NJ	GLEN RIDGE	MAGNUS IMAGING                     	29-30595-01  	3035554	1	39584	4
NJ	IRVINGTON	METROPOLITAN CARDIOVASCULAR CENTER 	29-31310-01  	3037759	1	39584	2
NJ	PISCATAWAY	GE HEALTHCARE BIO-SCIENCES CORP.   	29-30431-01  	3034647	1	39584	3
TX	ALVIN	"TEAM INDUSTRIAL SERVICES, INC.     "	42-32219-01  	3035252	4	39584	4
VA	ARLINGTON	VIRGINIA HOSPITAL CENTER ARLINGTON 	45-01099-01  	3003303	1	39584	4
VA	CULPEPER	"BLUE RIDGE CARDIOVAS. ASSOC., INC  "	45-30991-01  	3036826	1	39584	4
VA	VIENNA	CARDIOVASCULAR GROUP (THE)         	45-25533-01  	3035466	1	39584	4
VA	WINCHESTER	"HEART&VASCULAR INST.OFWINCHESTER,LL"	45-31300-01  	3037621	1	39584	4
DC	WASHINGTON	UNITED STATES CAPITOL POLICE       	08-30729-01  	3035991	1	39587	4
IN	MISHAWAKA	SAINT JOSEPH REGIONAL MEDICAL CNTR.	13-02650-02  	3013685	3	39587	4
IN	TERRE HAUTE	PROVIDENCE MEDICAL GROUP           	13-32192-01  	3035131	3	39587	4
MI	AUBURN HILLS	MICHIGAN INTERNAL MED.&CARDIOLOGY  	21-32376-01  	3035953	3	39587	4
MI	KALAMAZOO	ADVANCED CARDIAC HEALTH CARE       	21-26784-01  	3034402	3	39587	4
MO	ST. LOUIS	MALLINCKRODT INC.                  	24-04206-08MD	3018546	3	39587	4
MT	HAMILTON	GLAXOSMITHKLINE BIOLOGICALS -      	25-19852-01  	3019324	4	39587	4
PR	CAGUAS	NUSCAN CSP                         	52-17273-01  	3012483	1	39587	4
PR	CAYEY	"BECTON DICKINSON CARIBE, LTD.      "	52-21502-01  	3020875	1	39587	9
WY	WRIGHT	"THUNDER BASIN COAL COMPANY, L.L.C. "	49-19694-01  	3019109	4	39587	4
ID	BURLEY	CASSIA REGIONAL MEDICAL CENTER     	11-27393-01  	3032333	4	39588	4
IL	BUFFALO GROVE	"ECS ILLINOIS, LLC                  "	12-32696-01  	3037757	3	39588	2
IN	CROWN POINT	BROGAN PHARMACEUTICALS             	13-32662-01  	3037503	3	39588	4
IN	FORT WAYNE	PARKVIEW HEALTH                    	13-01284-02  	3001593	3	39588	4
IN	INDIANAPOLIS	INDIANA HEART HOSPITAL             	13-24834-01  	3029663	3	39588	4
MI	BLOOMFIELD HILLS	CARDIOLOGY AND VASCULAR ASSOCIATES 	21-32177-01  	3035016	3	39588	4
MI	GARDEN CITY	MIDWEST CARDIOLOGY ASSOCIATES      	21-32502-01  	3036540	3	39588	4
MI	PONTIAC	"CARDIOVASCULAR CONSULTANTS MI, P.C."	21-32424-01  	3036130	3	39588	5
MI	SOUTHFIELD	"V. C. CONSULTING, LLC.             "	21-32596-01  	3037038	3	39588	4
MI	TROY	"G2 CONSULTING GROUP, LLC           "	21-26593-01  	3033590	3	39588	4
ND	BISMARCK	BASIN ELECTRIC POWER COOPERATIVE   	33-18224-01  	3014682	4	39588	4
NJ	CAMDEN	CORIELL INSTITUTE FOR MEDICAL RES. 	29-11811-01  	3002537	1	39588	4
VA	FREDRICKSBURG	PRATT MEDICAL CENTER               	45-25552-01  	3035674	1	39588	4
VA	RICHLANDS	"CLINCH VALLEY PHYSICIANS, INC.     "	45-31311-01  	3037763	1	39588	2
WI	COTTAGE GROVE	NORTHERN SHARED MEDICAL SERVICES   	             	3037758	3	39588	2
AK	ANCHORAGE	"ALASKA HEART INSTITUTE, LLC        "	50-29111-01  	3034474	4	39589	8
CA	SAN DIEGO	"SABIA, INC.                        "	11-27727-01  	3035997	4	39589	4
DC	WASHINGTON	"HOMELAND SECURITY, DEPARTMENT OF   "	08-17447-01  	3012771	1	39589	4
DE	NEWARK	CHRISTIANA CARE HEALTH SERVICES    	07-12153-02  	3001303	1	39589	4
MI	ANN ARBON	AASTROM BIOSCIENCES                	21-26519-01  	3033266	3	39589	4
MO	ST. LOUIS	"QUEST DIAGNOSTICS CLINICAL, LABS.  "	24-13299-01  	3002380	3	39589	5
PR	GUAYAMA	"HOSP. EPISCOPAL CRISTO REDENTOR,INC"	52-30883-01  	3036506	1	39589	4
VA	ARLINGTON	"AIR FORCE, DEPARTMENT OF THE       "	42-23539-01AF	3028641	4	39589	8
VA	DANVILLE	DANVILLE REGIONAL MEDICAL CENTER   	45-15154-03  	3013667	1	39589	4
WV	ELKINS	DAVIS MEMORIAL HOSPITAL            	47-24864-01  	3029484	1	39589	4
DC	WASHINGTON	"CAPITOL MEDICAL CENTER, LLC D/B/A  "	08-11182-01  	3001334	1	39590	4
DE	DOVER	BAYHEALTH MEDICAL CENTER           	07-14850-01  	3007565	1	39590	4
MO	KANSAS CITY	"CARDIOVASCULAR CONSULTANTS, P.A.   "	24-25867-01  	3030370	3	39590	4
MO	MOBERLY	"MOBERLY HOSPITAL COMPANY, LLC      "	24-18695-01  	3014054	3	39590	4
MO	SPRINGFIELD	"SGOH ACQUISITIONS, INC.            "	24-32358-01  	3035879	3	39590	4
MO	ST. LOUIS	ST. JOHN'S MERCY MEDICAL CENTER    	24-00794-03  	3002283	3	39590	4
PA	CANONSBURG	MCELROY COAL COMPANY               	37-25561-01  	3035721	1	39590	4
TN	CHATTANOOGA	TENNESSEE VALLEY AUTHORITY         	01-06113-04  	3003572	1	39590	4
TN	CHATTANOOGA	TENNESSEE VALLEY AUTHORITY         	41-06832-06  	3017797	1	39590	4
VA	MANASSAS	"MANASSAS HEART CENTER, LLC         "	45-25607-01  	3036118	1	39590	4
VA	STEPHENSON	"W-L CONSTRUCTION & PAVING, INC.    "	45-21343-02  	3033317	1	39590	4
VT	WILLISTON	"KNIGHT CONSULTING ENGINEERS, INC.  "	44-19115-02  	3022089	1	39590	4
WY	CHEYENNE	WYOMING OFFICE OF HOMELAND SECURITY	49-08631-01  	3007474	4	39590	8
WY	LARAMIE	COFFEY ENGINEERING & SURVEYING LLC 	49-29281-01  	3037595	4	39590	4
CT	BERLIN	"BUDNEY OVERHAUL & REPAIR, LTD      "	STB-1530     	4008974	1	39591	4
DC	WASHINGTON	"CAPITAL CARDIOLOGY CONSULTANTS,P.C."	08-30727-01  	3035983	1	39591	4
IN	SOUTH BEND	INDIANA UNIVERSITY AT SOUTH BEND   	13-26387-01  	3032677	3	39591	4
MD	ABERDEEN PROV GRND	"ARMY, DEPARTMENT OF THE            "	SMB-141      	4006394	1	39591	9
MI	LANSING	"MICHIGAN, STATE OF                 "	21-05199-02  	3007188	3	39591	4
MI	MUSKEGON	"MAHLE ENGINE COMPONENTS USA, INC.  "	21-12192-01  	3004910	3	39591	7
MI	ROSEVILLE	"CARDIOVASCULAR INSTITUTE OF MI, P.C"	21-32094-01  	3034736	3	39591	4
MO	BRANSON	BRANSON HEART CENTER               	24-32116-01  	3034876	3	39591	4
MO	ST. LOUIS	"DRS SUSTAINMENT SYSTEMS, INC.      "	24-23912-01  	3036717	3	39591	4
NJ	DAYTON	"EUROFINS SCIENTIFIC, INC           "	29-31187-01  	3037338	1	39591	4
NJ	RED BANK	"PIC,PHYSICIANS IMAGING CENTER      "	29-28041-01  	3030030	1	39591	4
TX	HOUSTON	"H&G INSPECTION COMPANY, INC.       "	42-26838-01  	3029319	4	39591	5
VA	BLACKSBURG	VIRGINIA COLLEGE OF OSTEO. MEDICINE	45-31312-01  	3037772	1	39591	2
VA	NORFOLK	SENTARA HOSPITALS                  	45-00131-02  	3003298	1	39591	4
VA	RICHMOND	CARPENTER COMPANY                  	45-12171-01  	3006611	1	39591	5
AK	ANCHORAGE	"CONOCO PHILLIPS ALASKA, INC.       "	50-27783-01  	3036627	4	39595	4
CT	NORWALK	"CARDIOLOGY ASSOC.OF FAIRFIELD CTY,P"	06-07795-01  	3001271	1	39595	4
DE	MILFORD	BAYHEALTH MEDICAL CENTER           	07-14900-01  	3008228	1	39595	4
IN	TERRE HAUTE	INTERNATIONAL PAPER COMPANY        	13-32181-01  	3035024	3	39595	5
MI	KALAMAZOO	HEART CENTER FOR EXCELLENCE        	21-18912-01  	3017349	3	39595	4
MI	ROSEVILLE	"EASTSIDE CARDIOVASCULAR MEDICINE,PC"	21-26263-01  	3032009	3	39595	4
NJ	RAHWAY	"VERITCAL V-NORTHEAST, INC.         "	29-30107-01  	3033387	1	39595	4
NJ	TOMS RIVER	TOMS RIVER X-RAY                   	29-28777-01  	3032874	1	39595	4
PR	MAYAGUEZ	HOSPITAL RAMON E. BETANCES         	52-13598-04  	3037760	1	39595	1
VA	BLACKSBURG	OLVER INCORPORATED                 	45-19594-01  	3018935	1	39595	4
WV	CHARLESTON	"CHARLESTON HEART SPECIALISTS, PLLC "	47-25442-01  	3034783	1	39595	3
WV	WHEELING	"WHEELING HOSPITAL, INC.            "	47-05322-02  	3012570	1	39595	4
CA	SUNNYVALE	LUXIM CORPORATION                  	04-23924-01E 	3037036	0	39596	4
GA	AUSTELL	WORLDWIDE SPECIALTY LAMP           	10-23967-01E 	3037762	0	39596	2
IN	EVANSVILLE	"OPEN MRI, LLC                      "	13-32112-01  	3034799	3	39596	4
IN	TERRE HAUTE	TERRE HAUTE REGIONAL HOSPITAL      	13-09649-02  	3009540	3	39596	4
MD	GLENN DALE	"CONCRETE IMAGING, INC.             "	19-31213-02  	3037436	1	39596	5
ME	PITTSFIELD	UTC FIRE & SECURITY AMERICAS CORP. 	18-19750-02E 	3019260	0	39596	4
MI	CARSON CITY	CARSON CITY HOSPITAL               	21-16339-01  	3010847	3	39596	4
MI	SOUTHFIELD	PROVIDENCE HOSPITAL                	21-02802-03  	3002022	3	39596	4
MO	EARTH CITY	TESTAMERICA LABORATORIES-ST. LOUIS 	24-24817-01  	3029601	3	39596	4
MO	NORTH KANSAS CITY	NORTH KANSAS CITY HOSPITAL         	24-18628-01  	3013966	3	39596	4
MO	ST. LOUIS	"DRS SUSTAINMENT SYSTEMS, INC.      "	24-23912-02E 	3036638	0	39596	4
NH	STRATHAM	"GEMCLEAR, LP                       "	28-23963-01E 	3037761	0	39596	2
NJ	TOWACO	"BETACONTROL OF AMERICA, INC.       "	29-23394-01  	3021015	1	39596	4
NY	SODUS	DYNALEC CORPORATION                	31-23861-01E 	3034627	0	39596	3
OH	DUBLIN	CARDINAL HEALTH                    	34-29200-01MD	3036973	3	39596	4
VA	RESTON	"AMEN CLINICS, INC.                 "	45-30881-01  	3036502	1	39596	4
DE	NEW CASTLE	INTEGRITY TESTLAB                  	07-30791-01  	3036177	1	39597	8
IN	TERRE HAUTE	"PREMIER DIAGNOSTIC IMAGING, LLC    "	13-32556-01  	3036874	3	39597	4
IN	TERRE HAUTE	"UNION HOSPITAL, INC.               "	13-16457-01  	3011072	3	39597	4
MD	BETHESDA	"HEALTH & HUMAN SERVICES, DEPT. OF  "	19-00296-10  	3001786	1	39597	4
MI	GRAND HAVEN	NORTH OTTAWA COMMUNITY HOSPITAL    	21-13963-01  	3002168	3	39597	4
MO	CLARKSVILLE	HOLCIM (US) INC.                   	24-11511-01  	3005129	3	39597	4
MO	LIBERTY	LIBERTY HOSPITAL                   	24-16178-01  	3010532	3	39597	4
TX	HOUSTON	"WOOD GROUP LOGGING SERVICES, INC.  "	42-27706-01  	3035783	4	39597	4
WV	NEW MARTINSVILLE	BAYER MATERIALSCIENCE              	47-06773-02  	3014874	1	39597	4
CO	BOULDER	"COMMERCE, DEPARTMENT OF            "	05-03166-05  	3003732	4	39598	4
ID	BURLEY	CASSIA REGIONAL MEDICAL CENTER     	11-27393-01  	3032333	4	39598	3
ID	KELLOGG	"GLOBAL NUCLEAR MEDICINE, INC.      "	11-27738-01  	3036081	4	39598	5
ID	POST FALLS	INSIGHT DIAGNOSTIC IMAGING         	11-29290-01  	3037735	4	39598	4
NC	COLFAX	"CAROLINA NDT,INC.                  "	32-25137-01  	3032095	1	39598	4
NJ	ELIZABETH	"HAWKE INSPECTIONS & TESTING, LLC   "	29-30439-01  	3034677	1	39598	3
NJ	JERSEY CITY	"PHUNG, MICHAEL H., M.D.            "	29-31277-01  	3037544	1	39598	4
NJ	NORTH BERGEN	PALISADES MEDICAL CTR OF NEW YORK  	29-13453-01  	3002572	1	39598	4
NJ	PATERSON	"HABIB, MICHAEL M.D.                "	29-31289-01  	3037589	1	39598	4
VA	FRONT ROYAL	WARREN MEMORIAL HOSPITAL           	45-19566-01  	3017892	1	39598	4
WV	WHEELING	"WHEELING HOSPITAL, INC.            "	47-05322-02  	3012570	1	39598	4
AK	ANCHORAGE	PROVIDENCE ALASKA MEDICAL CENTER   	50-17838-01  	3013426	4	39601	4
AZ	FORT DEFIANCE	"NAVAJO NATION, THE                 "	02-29109-02  	3037769	4	39601	1
CT	ROCKY HILL	"GARG CONSULTING SERVICES,INC.      "	06-28785-01  	3032913	1	39601	4
DC	WASHINGTON	SMITHSONIAN INSTITUTION            	08-05938-13  	3030945	1	39601	4
IN	INDIANAPOLIS	"CLARK-DIETZ, INC.                  "	13-32699-01  	3037766	3	39601	2
IN	INDIANAPOLIS	INDIANAPOLIS VETERINARY REFERRAL   	             	3037765	3	39601	2
IN	INDIANAPOLIS	ST. VINCENT HOSP. & HLTH. CARE CNTR	13-00133-02  	3001579	3	39601	4
MI	ADRIAN	EMMA L. BIXBY MEDICAL CENTER       	21-03194-01  	3002027	3	39601	4
MI	ANN ARBOR	"MEDICAL PHYSICS CONSULTANTS, INC.  "	21-20153-01  	3018026	3	39601	4
MI	SOUTHFIELD	MILLENNIUM DIAGNOSTIC CENTER       	21-32035-01  	3034561	3	39601	4
MO	ST. LOUIS	SHALOM SERVICES CORPORATION        	24-32655-01  	3037474	3	39601	4
NJ	BROWNS MILLS	DEBORAH HEART & LUNG CENTER        	29-18190-01  	3014634	1	39601	4
NJ	TOMS RIVER	OCEAN CARDIOVASCULAR               	29-31313-01  	3037775	1	39601	2
NJ	TOWACO	"BETACONTROL OF AMERICA, INC.       "	29-23394-02G 	3034152	1	39601	4
VA	MIDLOTHIAN	"BON SECOURS VA HEALTH SOURCE, INC  "	45-25187-01  	3032638	1	39601	4
VA	ROANOKE	CARILION CLINIC                    	45-25395-01  	3034470	1	39601	4
WV	MORGANTOWN	MONONGALIA GENERAL HOSPITAL        	47-16259-01  	3010683	1	39601	4
WY	THERMOPOLIS	HOT SPRINGS COUNTY MEMORIAL HOSP.  	49-26949-01  	3030651	4	39601	8
CO	GREENWOOD PLAZA	POWERTECH(USA)INC                  	05-29246-01  	3037387	4	39602	4
CT	SHELTON	"SWISS ARMY BRANDS, INC.            "	06-28699-02E 	3032524	0	39602	5
HI	HONOLULU	"HAWAII MEDICAL CENTER, LLC         "	53-11966-01  	3003557	4	39602	8
IN	CONNERSVILLE	FAYETTE MEMORIAL HOSPITAL          	13-16518-01  	3011441	3	39602	4
IN	FORT WAYNE	"QHG OF INDIANA, INC.               "	13-01535-01  	3001594	3	39602	4
MI	LANSING	"DLZ MICHIGAN, INC.                 "	21-32631-01  	3037334	3	39602	4
MI	PONTIAC	AMERICAN ONCOLOGIC ASSOCIATES MI/PC	21-26488-01  	3033134	3	39602	4
MO	ST. LOUIS	"MIDWEST TESTING, INC.              "	24-24619-02  	3032036	3	39602	4
MO	ST. LOUIS	ST. ANTHONY'S MEDICAL CENTER       	24-01041-04  	3010108	3	39602	4
NC	CHARLOTTE	"STERIGENICS INTERNATIONAL, INC.    "	32-31005-01E 	3037764	0	39602	1
NJ	JERSEY CITY	JERSEY CITY MEDICAL CENTER CAMPUS  	29-01663-01  	3002439	1	39602	4
NJ	MORRISTOWN	MORRISTOWN MEMORIAL HOSPITAL       	29-05139-03  	3002482	1	39602	4
OH	CLEVELAND	NATIONAL AERONAUTICS & SPACE ADM.  	34-00507-16  	3005626	3	39602	4
CA	LOS ANGELES	"CITIZEN WATCH CO OF AMERICA, INC   "	04-19004-02E 	3015194	0	39603	5
NJ	PATERSON	ST. JOSEPH'S REGIONAL MEDICAL CTR  	29-10191-02  	3002526	1	39603	4
ID	GARDEN CITY	"PSI, INC.                          "	11-27705-01MD	3035770	4	39604	6
MD	BEL AIR	BAY STATE GEO-STRUCTURAL           	19-31280-01  	3037556	1	39604	4
NJ	LAKEWOOD	"CHANDRU JAIN, M.D., P.C.           "	29-30463-01  	3034788	1	39604	3
VA	GAINESVILLE	SUPERIOR PAVING CORPORATION        	45-24949-01  	3030258	1	39604	4
AK	NORTH POLE	"MAPPA, INC.                        "	50-23306-01  	3020884	4	39605	4
CT	HARTFORD	"HARTFORD CARDIOLOGY GROUP, LLC     "	             	3037776	1	39605	2
CT	SHELTON	SUPERIOR UV TECHNOLOGIES           	06-23969-01  	3037784	1	39605	2
ID	CALDWELL	"WEST VALLEY MEDICAL CENTER, INC.   "	11-27087-01  	3032242	4	39605	8
ID	NAMPA	PROJECT ENGINEERING CONSULTANTS LTD	11-29224-01  	3037126	4	39605	4
IN	INDIANAPOLIS	METHODIST HOSPITAL                 	13-02063-01  	3001603	3	39605	4
IN	JEFFERSONVILLE	RIVER CITIES CARDIOLOGY            	13-26510-01  	3033227	3	39605	4
MD	BETHESDA	"HEALTH & HUMAN SERVICES, DEPT. OF  "	19-00296-17  	3008478	1	39605	4
MI	ANN ARBOR	"WARNER-LAMBERT, LLC                "	21-01443-06  	3004794	3	39605	5
MT	HELENA	ST. PETER'S COMMUNITY HOSPITAL     	25-12453-02  	3010917	4	39605	4
NC	MEBANE	WALTER KIDDE PORTABLE EQUIPMENT INC	32-23858-01E 	3034526	0	39605	3
NJ	TINTON FALLS	CARDIAC CARE CENTER                	29-30501-01  	3034941	1	39605	4
OH	CANTON	"SHARED P.E.T. IMAGING, LLC         "	34-30614-01  	3035631	3	39605	4
TX	FT. HOOD	"ARMY, DEPARTMENT OF THE            "	42-19113-01  	3016084	4	39605	4
VA	HOPEWELL	HONEYWELL RESINS & CHEMICALS LLC   	45-01972-05  	3006536	1	39605	4
NJ	WAYNE	"GUPTA, AJAY K., M.D.               "	29-30132-01  	3033476	1	39607	4
CT	SHELTON	SUPERIOR UV TECHNOLOGIES           	06-23969-02E 	3037767	0	39608	2
IN	MERRILLVILLE	"CARDIOVASCULAR CLINICS, P.C.       "	13-32122-01  	3034833	3	39608	4
MI	GRAND RAPIDS	"WEST MICHIGAN CARDIOLOGY, P.C.     "	21-32147-01  	3034906	3	39608	4
MO	HANNIBAL	"HANNIBAL CLINIC OPERATIONS, LLC    "	24-32619-01  	3037200	3	39608	4
MO	MARYVILLE	ST. FRANCIS HOSPITAL               	24-26415-01  	3032795	3	39608	4
MT	BOZEMAN	"MORRISON-MAIERLE, INC.             "	25-17563-01  	3012975	4	39608	4
NJ	OLD BRIDGE	PULMONARY ASSOCS. OF MIDDLESEX     	29-30733-01  	3036015	1	39608	4
NJ	TRENTON	NEW JERSEY DEPT. OF TRANSPORTATION 	29-05943-01  	3005315	1	39608	4
NM	ALBUQUERQUE	"EBERLINE SERVICES, INC.            "	30-23706-01E 	3030357	0	39608	4
OH	CINCINNATI	H. C. NUTTING COMPANY              	34-18882-03  	3037135	3	39608	4
PA	SPRING HOUSE	ROHM & HAAS COMPANY                	37-01665-01  	3006021	1	39608	7
VA	ROANOKE	CARILION CLINIC CARDIOLOGY         	45-25527-01  	3035436	1	39608	4
VA	RUCKERSVILLE	"CTI CONSULTANTS, INC.              "	45-23031-01  	3020195	1	39608	4
VA	WINCHESTER	WINCHESTER CARD.&VASCULAR MED. P.C.	45-25541-01  	3035566	1	39608	4
WA	SPOKANE	INLAND CARDIOLOGY ASSOCIATES PS    	11-27645-01  	3035234	4	39608	4
WV	CHARLESTON	MIDLAND TRAIL ENERGY LLC           	47-31315-01  	3037777	1	39608	2
AK	ANCHORAGE	"ALASKA HEART INSTITUTE, LLC        "	50-29111-01  	3034474	4	39609	4
CA	SAN MARCOS	"GUNTER MEELIS USA, INC.            "	04-23964-01E 	3037770	0	39609	2
IN	FORT WAYNE	"QHG OF INDIANA, INC.               "	13-01535-01  	3001594	3	39609	4
IN	NEWBURGH	ONCOLOGY HEMATOLOGY ASSOCIATES     	             	3037771	3	39609	2
MI	MIDLAND	DOW CHEMICAL COMPANY               	21-00265-06  	3004783	3	39609	4
MI	STERLING HEIGHTS	"KHULLAR, MD & ASSOCIATES, PLLC     "	21-32701-01  	3037774	3	39609	2
MO	COLUMBIA	"ANALYTICAL BIO-CHEMISTRY LABS., INC"	24-13365-01  	3005154	3	39609	4
MO	ROLLA	PHELPS COUNTY REGIONAL MEDICAL CNTR	24-18295-01  	3014804	3	39609	4
MO	ST. LOUIS	MISSOURI BAPTIST MEDICAL CENTER    	24-11128-02  	3008325	3	39609	4
MO	WARRENSBURG	WESTERN MISSOURI MEDICAL CENTER    	24-32222-01  	3035258	3	39609	4
PR	AGUADILLA	HOSP COMUNITARIO EL BUEN SAMARITANO	52-25400-01  	3034490	1	39609	4
TX	PASADENA	"PETROCHEM INSPECTION SERVICES, INC."	42-32507-01  	3036565	3	39609	4
MI	FLINT	"MICHIGAN CARDIOLOGY, P.C.          "	21-32110-01  	3034796	3	39610	3
MI	STERLING HEIGHTS	"CARDIOVASCULAR CONSULTANTS, P.C.   "	21-32102-01  	3034767	3	39610	3
MO	FORT LEONARD WOOD	"ARMY, DEPARTMENT OF THE            "	24-32221-01  	3035257	3	39610	3
MO	KANSAS CITY	"CARGILL, INC.                      "	24-25817-01  	3030134	3	39610	4
NJ	LAKEWOOD	ONCOLOGY SERVICES INTERNATIONAL    	SUB-1590     	4009065	1	39610	8
NJ	NEW BRUNSWICK	JOHNSON & JOHNSON                  	29-00206-07  	3011969	1	39610	7
NJ	RARITAN	"ORTHO-CLINICAL DIAGNOSTICS, INC.   "	29-16223-01  	3010611	1	39610	7
NJ	SKILLMAN	"JOHNSON&JOHNSON CONSUMER COMPANIES,"	29-17001-02  	3017839	1	39610	7
CA	NAPA	SUPRA BRANDS GROUP LLC             	04-23959-01E 	3037553	0	39611	4
DC	WASHINGTON	"NAVY, DEPARTMENT OF THE            "	45-23645-01NA	3029462	1	39611	9
MI	DETROIT	KARMANOS CANCER CENTER             	21-04127-06  	3009376	3	39611	4
MI	LANSING	THORACIC & CARDIOVASCULAR INSTITUTE	21-20313-01  	3018237	3	39611	4
MI	MIDLAND	MIDMICHIGAN MEDICAL CENTER         	21-01549-02  	3002013	3	39611	4
MI	WIXOM	"CTI AND ASSOCIATES, INC.           "	21-17007-01  	3012040	3	39611	3
MI	WYANDOTTE	"WYANDOTTE, CITY OF                 "	21-25984-01  	3030852	3	39611	4
MO	BLOOMSDALE	HOLCIM (US) INC.                   	24-32702-01  	3037779	3	39611	2
NJ	ROCKAWAY	"NUCLEAR DIAGNOSTIC PRODUCTS, INC.  "	29-30500-01MD	3034940	1	39611	4
NJ	TOTOWA	"ARISTON RADIOLOGY ASSOCS., L.L.C.  "	29-02023-06  	3032352	1	39611	4
NJ	VOORHEES	VIRTUA HEALTH SYS-WEST JERSEY HOSP.	29-01862-02  	3002443	1	39611	4
VA	ABINGDON	RLS & COMPANY                      	45-24905-01  	3029949	1	39611	5
VA	FREDERICKSBURG	VIRGINIA CARDIOVASCULAR CONSULTANTS	45-30875-01  	3036490	1	39611	4
WV	APPLE GROVE	"M & G POLYMERS USA, LLC            "	47-25227-01  	3033015	1	39611	4
WV	RIPLEY	FOX ENGINEERING                    	47-31008-01  	3036850	1	39611	5
WY	CHEYENNE	MEMORIAL HOSPITAL OF LARAMIE CTY.  	49-01380-01  	3003496	4	39611	4
DE	WILMINGTON	"GREEN STONE ENGINEERING, LLC       "	07-31317-01  	3037782	1	39612	2
MI	PETOSKEY	THE CARDIAC INSTITUTE              	21-32345-01  	3035824	3	39612	4
MI	PONTIAC	ST. JOSEPH MERCY - OAKLAND         	21-11651-01  	3002104	3	39612	4
MI	REED CITY	SPECTRUM HEALTH - REED CITY CAMPUS 	21-32023-01  	3034534	3	39612	4
MI	WARREN	"AGGARWAL & ASSOCIATES, M.D.'S, P.C."	21-32405-01  	3036037	3	39612	4
MT	MOLT	"MATTINGLY TESTING SERVICES, INC.   "	25-21479-01  	3020836	4	39612	4
ND	BISMARCK	BASIN ELECTRIC POWER COOPERATIVE   	33-18224-01  	3014682	4	39612	4
OH	CINCINNATI	OHMART/VEGA CORPORATION            	34-00639-04  	3035076	3	39612	4
PA	CANONSBURG	CONSOLIDATION COAL COMPANY         	37-30938-01  	3036636	1	39612	4
VA	HAMPTON	"RIVERSIDE PHYSICIANS SERVICES, INC."	45-25064-02  	3035780	1	39612	4
VA	WILLIAMSBURG	"RIVERSIDE PHYSICIAN ASSOCIATES, INC"	45-31138-01  	3037174	1	39612	4
WV	NEW MARTINSVILLE	"PPG INDUSTRIES, INC.               "	47-01542-01  	3006658	1	39612	4
CT	HARTFORD	"CONNECTICUT, STATE OF              "	06-27895-02  	3037785	1	39615	1
CT	MIDDLEBURY	CHEMTURA CORPORATION               	06-00221-08  	3003759	1	39615	4
DC	WASHINGTON	HOWARD UNIVERSITY HOSPITAL         	08-03075-07  	3001321	1	39615	4
MD	BETHESDA	UNIFORMED SERVICES UNIVERSITY OF   	19-08330-02  	3004545	1	39615	4
MT	GLENDIVE	GLENDIVE MEDICAL CENTER            	25-17265-01  	3012470	4	39615	8
NJ	EDISON	MENLO PARK MEDICAL GROUP           	29-30809-01  	3036233	1	39615	5
